Timestamp,Car Selection,Tesla,Version,Year,Origin,Wheels,Delivered,Battery,CapacityNetNew,"Form
Factor",Chemistry,Date,Age,Odometer,RatedRange,CapacityNetNow,Cycles,Degradation,DegradationPerMonth,DegradationPerCycle,Daily SOC Limit,DC Ratio,Battery Pack,Part Number,Energy Monitor,CC Check,WarrantyTime,WarrantyMileage,WarrantyDegradation,Result vs fleet data,DegradationPerKm,0.52,0.48,SUM
01.08.2023 23:07:42,Long Range 2022 / AWD / WLTP 602km / E5LD,Model 3,Long Range,2022,China,"18""",04.11.2022,LG Chem 5L,"79,5 kWh",2170,NMC,25.11.2022,1 Months,224 km,572 km,"78,4 kWh",1,"1,4%",,,,,,,,,0.01,0,0.05,"-1,3% compared to average",,"0,09%","0,01%","0,11%"
01.08.2023 23:08:39,Standard Range 2020 / RWD / WLTP 440km / E6R,Model 3,Standard Range,2020,China,"19""",15.12.2020,CATL 6C,"55,2 kWh",Prismatic,LFP,20.07.2023,31 Months,39500 km,385 km,"51,2 kWh",170,"7,2%","0,23%","0,04%",0.9,0.5,Original,,,,0.32,0.25,0.24,"-1,0% compared to average","0,0002%","3,95%","2,33%","6,27%"
01.08.2023 23:09:49,Long Range 2022 / AWD / WLTP 602km / E5LD,Model 3,Long Range,2022,China,"18""",04.11.2022,LG Chem 5L,"79,5 kWh",2170,NMC,17.03.2023,4 Months,3629 km,571 km,"78,2 kWh",11,"1,6%",,,,,,,,,0.05,0.02,0.05,"-0,8% compared to average",,"0,58%","0,19%","0,76%"
01.08.2023 23:10:31,Long Range 2021 / AWD / WLTP 507km / Y5CD,Model Y,Long Range,2021,China,"20""",30.08.2021,LG Chem 5C,"75,9 kWh",2170,NMC,01.06.2023,21 Months,25239 km,482 km,"71,6 kWh",89,"5,7%",,,0.8,0.25,Original,,,,0.22,0.13,0.19,"-1,7% compared to average",,"2,73%","1,28%","4,01%"
01.08.2023 23:12:40,Long Range 2022 / AWD / WLTP 602km / E5LD,Model 3,Long Range,2022,China,"18""",04.11.2022,LG Chem 5L,"79,5 kWh",2170,NMC,23.07.2023,9 Months,9167 km,573 km,"78,5 kWh",28,"1,3%",,,0.9,0.5,Original,,,,0.09,0.05,0.04,"0,3% compared to average",,"1,13%","0,47%","1,60%"
01.08.2023 23:29:06,Long Range 2021 / AWD / WLTP 580km / E5CD,Model 3,Long Range,2021,China,"18""",24.09.2021,LG Chem 5C,"75,9 kWh",2170,NMC,04.12.2021,2 Months,2242 km,543 km,"74,4 kWh",7,"2,0%",,,0.9,0.5,Original,,,,0.02,0.01,0.07,"-1,6% compared to average",,"0,31%","0,11%","0,42%"
01.08.2023 23:31:17,Long Range 2021 / AWD / WLTP 580km / E5CD,Model 3,Long Range,2021,China,"18""",24.09.2021,LG Chem 5C,"75,9 kWh",2170,NMC,29.04.2022,7 Months,7980 km,539 km,"73,8 kWh",26,"2,7%",,,0.9,0.75,Original,,,,0.07,0.04,0.09,"-1,4% compared to average",,"0,93%","0,40%","1,33%"
01.08.2023 23:33:00,Long Range 2021 / AWD / WLTP 580km / E5CD,Model 3,Long Range,2021,China,"18""",24.09.2021,LG Chem 5C,"75,9 kWh",2170,NMC,13.08.2022,11 Months,13840 km,544 km,"74,5 kWh",45,"1,8%",,,0.9,0.5,Original,,,,0.11,0.07,0.06,"0,3% compared to average",,"1,38%","0,70%","2,08%"
01.08.2023 23:35:11,Standard Range 2022 / RWD / WLTP 491km / E6LR,Model 3,Standard Range,2022,China,"18""",23.12.2022,CATL 6L,"61,7 kWh",Prismatic,LFP,30.07.2023,7 Months,11746 km,431 km,"59,5 kWh",43,"3,6%",,,1,0.5,Original,,,,0.08,0.07,0.12,"-1,8% compared to average",,"1,04%","0,77%","1,81%"
01.08.2023 23:40:46,Long Range 2021 / AWD / WLTP 580km / E5D,Model 3,Long Range,2021,USA,"18""",10.03.2021,LG Chem 5C,"75,9 kWh",2170,NMC,09.07.2021,4 Months,4811 km,545 km,"74,7 kWh",15,"1,6%",,,0.8,0.25,Original,,,,0.04,0.03,0.05,"-0,9% compared to average",,"0,52%","0,24%","0,76%"
01.08.2023 23:42:06,Long Range 2021 / AWD / WLTP 580km / E5CD,Model 3,Long Range,2021,China,"18""",02.09.2021,LG Chem 5C,"75,9 kWh",2170,NMC,21.07.2023,23 Months,33200 km,539 km,"73,8 kWh",107,"2,7%",,"0,03%",,,,,,,0.24,0.17,0.09,"1,9% compared to average","0,0001%","2,93%","1,68%","4,61%"
01.08.2023 23:43:28,Long Range 2021 / AWD / WLTP 580km / E5D,Model 3,Long Range,2021,USA,"18""",10.03.2021,LG Chem 5C,"75,9 kWh",2170,NMC,08.09.2021,6 Months,6974 km,541 km,"74,1 kWh",22,"2,3%",,,0.9,0.5,Original,,,,0.06,0.04,0.08,"-1,2% compared to average",,"0,78%","0,35%","1,13%"
01.08.2023 23:48:57,Performance 2022 / AWD / WLTP 559km / E3LD MIC,Model 3,M3P 3L MIC,2022,China,"20""",30.03.2022,Panasonic 3L MIC,"82,0 kWh",2170,NCA MIC,24.07.2023,16 Months,36453 km,467 km,"74,0 kWh",128,"9,7%",,"0,08%",0.8,0.25,Original,,"73,3 kWh","0,7",0.16,0.19,0.32,"-3,2% compared to average","0,0003%","2,93%","3,61%","6,54%"
01.08.2023 23:51:25,Performance 2022 / AWD / WLTP 514km / Y5LD,Model Y,Performance,2022,Germany,"21""",06.09.2022,LG Chem 5L,"79,5 kWh",2170,NMC,29.07.2023,11 Months,13000 km,472 km,"77,9 kWh",48,"2,0%",,,,,,,,,0.11,0.07,0.07,"0,0% compared to average",,"1,41%","0,67%","2,07%"
02.08.2023 02:48:34,Standard Range 2022 / RWD / WLTP 491km / E6LR,Model 3,Standard Range,2022,China,"19""",16.09.2022,CATL 6L,"61,7 kWh",Prismatic,LFP,01.08.2023,11 Months,13509 km,428 km,"59,1 kWh",50,"4,3%",,,0.9,0,Original,,,,0.11,0.08,0.14,"-1,9% compared to average",,"1,52%","0,88%","2,40%"
02.08.2023 05:58:19,Standard Range 2021 / RWD / WLTP 448km / E6CR,Model 3,Standard Range,2021,China,"18""",01.09.2021,CATL 6C,"55,2 kWh",Prismatic,LFP,01.08.2023,23 Months,65000 km,407 km,"52,1 kWh",278,"5,6%",,"0,02%",1,0.25,Original,,,,0.24,0.41,0.19,"1,1% compared to average","0,0001%","2,91%","3,83%","6,74%"
02.08.2023 06:24:37,Standard Range 2023 / RWD / WLTP 491km / E6LR,Model 3,Standard Range,2023,China,"18""",22.11.2022,CATL 6L,"61,7 kWh",Prismatic,LFP,01.08.2023,8 Months,8400 km,433 km,"59,8 kWh",31,"3,2%",,,1,0.5,Original,,,,0.09,0.05,0.11,"-1,4% compared to average",,"1,20%","0,55%","1,75%"
02.08.2023 06:41:54,Standard Range 2023 / RWD / WLTP 455km / Y7CR,Model Y,Standard Range,2023,Germany,"19""",22.06.2023,BYD Blade 7C,"60,0 kWh",Prismatic,LFP,23.06.2023,0 Months,150 km,418 km,"59,6 kWh",1,"0,0%",,,0.9,0.25,Original,,,,0,0,0,,,#N/A,#N/A,
02.08.2023 06:52:31,Long Range 2021 / AWD / WLTP 507km / Y5CD,Model Y,Long Range,2021,China,"19""",05.09.2021,LG Chem 5C,"75,9 kWh",2170,NMC,18.12.2022,15 Months,151440 km,471 km,"69,9 kWh",539,"7,8%",,"0,01%",0.8,0.25,Original,,,,0.16,0.79,0.26,"1,8% compared to average","0,0001%","2,00%","7,67%","9,67%"
02.08.2023 06:54:23,Standard Range 2023 / RWD / WLTP 455km / Y7CR,Model Y,Standard Range,2023,Germany,"19""",22.06.2023,BYD Blade 7C,"60,0 kWh",Prismatic,LFP,06.07.2023,0 Months,800 km,418 km,"59,6 kWh",3,"0,0%",,,0.9,0.25,Original,,,,0.01,0.01,0,,,#N/A,#N/A,
02.08.2023 06:55:16,Long Range 2020 / AWD / WLTP 560km / E3D,Model 3,Long Range,2020,USA,"19""",26.12.2020,Panasonic 3,"78,5 kWh",2170,NCA,22.07.2023,31 Months,106000 km,470 km,"71,7 kWh",354,"8,7%","0,28%","0,02%",,,,,,,0.32,0.55,0.29,"-0,2% compared to average","0,0001%","3,37%","5,09%","8,45%"
02.08.2023 06:55:42,Standard Range 2023 / RWD / WLTP 455km / Y7CR,Model Y,Standard Range,2023,Germany,"19""",22.06.2023,BYD Blade 7C,"60,0 kWh",Prismatic,LFP,16.07.2023,1 Months,1280 km,416 km,"59,3 kWh",5,"1,2%",,,,,,,,,0.01,0.01,0.04,,,#N/A,#N/A,
02.08.2023 06:56:47,Standard Range 2023 / RWD / WLTP 455km / Y7CR,Model Y,Standard Range,2023,Germany,"19""",22.06.2023,BYD Blade 7C,"60,0 kWh",Prismatic,LFP,30.07.2023,1 Months,2526 km,411 km,"58,6 kWh",10,"2,4%",,,,,,,,,0.01,0.02,0.08,,,#N/A,#N/A,
02.08.2023 07:01:52,Standard Range 2020 / RWD / WLTP 409km / E1R,Model 3,Standard Range,2020,USA,"18""",18.03.2020,Panasonic 1C,"52,6 kWh",2170,NCA,01.08.2023,40 Months,95000 km,362 km,"49,2 kWh",409,"6,4%","0,16%","0,02%",0.9,0.5,Original,,"49,2 kWh","0,0",0.42,0.59,0.21,"3,8% compared to average","0,0001%","4,71%","5,46%","10,17%"
02.08.2023 07:50:47,Standard Range 2021 / RWD / WLTP 448km / E1LR,Model 3,Standard Range,2021,USA,"19""",10.03.2021,Panasonic 1L,"55,4 kWh",2170,NCA,01.07.2023,28 Months,30071 km,385 km,"49,3 kWh",132,"11,0%","0,40%","0,08%",,,,,,,0.29,0.19,0.37,"-4,1% compared to average","0,0004%","4,33%","2,58%","6,91%"
02.08.2023 08:03:54,Standard Range 2021 / RWD / WLTP 448km / E6CR,Model 3,Standard Range,2021,China,"18""",03.06.2021,CATL 6C,"55,2 kWh",Prismatic,LFP,31.07.2023,26 Months,46000 km,403 km,"51,6 kWh",198,"6,6%","0,25%","0,03%",,,,,,,0.27,0.29,0.22,"-0,6% compared to average","0,0001%","3,29%","2,71%","6,00%"
02.08.2023 08:11:12,Long Range 2019 / RWD / WLTP 600km / E3R,Model 3,Long Range,2019,USA,"18""",15.06.2019,Panasonic 3,"78,5 kWh",2170,NCA,14.07.2023,49 Months,102000 km,500 km,"72,8 kWh",330,"7,3%","0,15%","0,02%",,,,,,,0.51,0.53,0.24,"2,9% compared to average","0,0001%","5,35%","4,89%","10,24%"
02.08.2023 08:12:50,Long Range 2023 / RWD / WLTP 638km / E5LR,Model 3,Long Range,2023,China,"18""",30.06.2023,LG Chem 5L,"79,5 kWh",2170,NMC,02.08.2023,1 Months,2450 km,550 km,"78,7 kWh",7,"1,1%",,,0.9,0.25,Original,,,,0.01,0.01,0.04,"-0,8% compared to average",,"0,15%","0,13%","0,27%"
02.08.2023 08:19:04,Long Range 2021 / AWD / WLTP 580km / E5D,Model 3,Long Range,2021,USA,"18""",22.03.2021,LG Chem 5C,"75,9 kWh",2170,NMC,02.08.2023,28 Months,93037 km,505 km,"69,2 kWh",310,"8,8%","0,31%","0,03%",0.9,0.25,Original,,,,0.3,0.48,0.29,"-0,5% compared to average","0,0001%","3,68%","4,71%","8,39%"
02.08.2023 08:41:20,Long Range 2023 / AWD / WLTP 602km / E5LD,Model 3,Long Range,2023,China,"18""",24.12.2022,LG Chem 5L,"79,5 kWh",2170,NMC,30.07.2023,7 Months,6300 km,566 km,"77,5 kWh",19,"2,5%",,,,,,,,,0.07,0.03,0.08,"-1,2% compared to average",,"0,94%","0,32%","1,27%"
02.08.2023 08:43:21,Standard Range 2021 / RWD / WLTP 448km / E6CR,Model 3,Standard Range,2021,China,"18""",21.05.2021,CATL 6C,"55,2 kWh",Prismatic,LFP,31.07.2023,26 Months,27492 km,403 km,"51,6 kWh",118,"6,6%","0,25%",,1,0.25,Original,,,,0.27,0.17,0.22,"-1,6% compared to average",,"3,34%","1,62%","4,96%"
02.08.2023 08:51:04,Long Range 2022 / AWD / WLTP 533km / Y5LD,Model Y,Long Range,2022,China,"20""",26.09.2022,LG Chem 5L,"79,5 kWh",2170,NMC,24.07.2023,10 Months,20000 km,521 km,"77,4 kWh",66,"2,7%",,,0.7,0,Original,,,,0.1,0.1,0.09,"-0,4% compared to average",,"1,30%","1,03%","2,33%"
02.08.2023 09:10:20,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"18""",17.12.2021,LG Chem 5L,"79,5 kWh",2170,NMC,19.07.2023,19 Months,73834 km,545 km,"74,7 kWh",232,"6,1%",,"0,03%",0.8,0.25,Original,,,,0.2,0.38,0.2,"0,2% compared to average","0,0001%","2,50%","3,79%","6,28%"
02.08.2023 09:19:58,Long Range 2022 / AWD / WLTP 533km / Y5LD,Model Y,Long Range,2022,Germany,"19""",06.07.2022,LG Chem 5L,"79,5 kWh",2170,NMC,10.06.2023,11 Months,37000 km,511 km,"75,9 kWh",124,"4,5%",,"0,04%",,,,,,,0.12,0.19,0.15,"-1,2% compared to average","0,0001%","1,46%","1,90%","3,36%"
02.08.2023 09:22:42,Standard Range 2023 / RWD / WLTP 455km / Y6LR,Model Y,Standard Range,2023,China,"19""",11.02.2023,CATL 6L(Y),"61,7 kWh",Prismatic,LFP,17.07.2023,5 Months,8809 km,418 km,"59,6 kWh",33,"0,0%",,,0.9,0,Original,,,,0.05,0.06,0,,,#N/A,"0,60%",
02.08.2023 09:32:28,Standard Range 2021 / RWD / WLTP 491km / E6LR,Model 3,Standard Range,2021,China,"18""",22.12.2021,CATL 6L,"61,7 kWh",Prismatic,LFP,31.07.2023,19 Months,42350 km,420 km,"58,0 kWh",158,"6,1%",,"0,04%",,,,,,,0.2,0.26,0.2,"-0,5% compared to average","0,0001%","2,79%","2,77%","5,56%"
02.08.2023 09:43:57,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"18""",18.11.2021,LG Chem 5L,"79,5 kWh",2170,NMC,01.08.2023,20 Months,53000 km,540 km,"74,0 kWh",167,"6,9%",,"0,04%",0.7,0.25,Original,,"73,0 kWh","1,0",0.21,0.28,0.23,"-1,5% compared to average","0,0001%","2,68%","2,72%","5,40%"
02.08.2023 09:51:48,Long Range 2021 / AWD / WLTP 614km / E3LD,Model 3,Long Range,2021,USA,"18""",11.06.2021,Panasonic 3L,"82,0 kWh",2170,NCA,01.08.2023,26 Months,26184 km,537 km,"73,6 kWh",81,"10,3%","0,40%",,,,,,,,0.27,0.14,0.34,"-4,3% compared to average",,"4,07%","1,90%","5,97%"
02.08.2023 10:00:08,Standard Range 2023 / RWD / WLTP 455km / Y6LR,Model Y,Standard Range,2023,China,"19""",25.03.2023,CATL 6L(Y),"61,7 kWh",Prismatic,LFP,01.08.2023,4 Months,2302 km,418 km,"59,6 kWh",9,"0,0%",,,,,,,,,0.04,0.01,0,,,#N/A,"0,16%",
02.08.2023 10:27:29,Standard Range 2023 / RWD / WLTP 491km / E6LR,Model 3,Standard Range,2023,China,"18""",31.03.2023,CATL 6L,"61,7 kWh",Prismatic,LFP,29.07.2023,4 Months,3600 km,433 km,"59,8 kWh",13,"3,2%",,,,,,,,,0.04,0.02,0.11,"-2,3% compared to average",,"0,57%","0,24%","0,81%"
02.08.2023 11:34:18,Performance 2021 / AWD / WLTP 567km / E3LD MIC,Model 3,M3P 3L MIC,2021,China,"20""",03.12.2021,Panasonic 3L MIC,"82,0 kWh",2170,NCA MIC,29.07.2023,20 Months,60500 km,456 km,"72,3 kWh",215,"11,9%",,"0,06%",,,,,,,0.21,0.32,0.4,"-2,2% compared to average","0,0002%","3,67%","6,00%","9,67%"
02.08.2023 11:35:21,Long Range 2021 / AWD / WLTP 580km / E5CD,Model 3,Long Range,2021,China,"18""",30.09.2021,LG Chem 5C,"75,9 kWh",2170,NMC,02.08.2023,22 Months,48540 km,518 km,"71,0 kWh",160,"6,5%",,"0,04%",0.7,0.25,Original,,,,0.23,0.25,0.22,"-1,2% compared to average","0,0001%","2,86%","2,46%","5,32%"
02.08.2023 11:55:32,Standard Range 2023 / RWD / WLTP 455km / Y6LR,Model Y,Standard Range,2023,China,"19""",19.06.2023,CATL 6L(Y),"61,7 kWh",Prismatic,LFP,01.08.2023,1 Months,1840 km,418 km,"59,6 kWh",7,"0,0%",,,,,,,,,0.02,0.01,0,,,#N/A,"0,12%",
02.08.2023 12:03:28,Standard Range 2022 / RWD / WLTP 491km / E6LR,Model 3,Standard Range,2022,China,"18""",26.02.2022,CATL 6L,"61,7 kWh",Prismatic,LFP,31.07.2023,17 Months,52525 km,420 km,"58,0 kWh",196,"6,1%",,"0,03%",0.9,0.25,Original,,,,0.18,0.33,0.2,"-0,2% compared to average","0,0001%","2,47%","3,43%","5,91%"
02.08.2023 12:12:09,Standard Range 2023 / RWD / WLTP 455km / Y6LR,Model Y,Standard Range,2023,China,"19""",19.06.2023,CATL 6L(Y),"61,7 kWh",Prismatic,LFP,01.08.2023,1 Months,2500 km,418 km,"59,6 kWh",9,"0,0%",,,,,,,,,0.02,0.02,0,,,#N/A,"0,17%",
02.08.2023 12:23:01,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,25.06.2023,20 Months,34173 km,554 km,"75,9 kWh",106,"4,5%",,"0,04%",0.9,0.5,Original,,,,0.21,0.18,0.15,"-0,2% compared to average","0,0001%","2,61%","1,75%","4,37%"
02.08.2023 13:07:15,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",07.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,18.11.2021,1 Months,105 km,567 km,"77,7 kWh",0,"2,3%",,,0.9,0.5,Original,,,,0.01,0,0.08,"-2,1% compared to average",,"0,19%","0,01%","0,19%"
02.08.2023 13:16:46,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,02.03.2022,4 Months,5621 km,576 km,"78,9 kWh",17,"0,7%",,,0.9,0.25,Original,,,,0.04,0.03,0.02,"0,1% compared to average",,"0,55%","0,29%","0,83%"
02.08.2023 13:18:15,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,06.04.2022,5 Months,5905 km,572 km,"78,4 kWh",18,"1,4%",,,0.9,0.25,,,,,0.06,0.03,0.05,"-0,4% compared to average",,"0,70%","0,30%","1,00%"
02.08.2023 13:22:44,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,26.05.2022,7 Months,10094 km,571 km,"78,2 kWh",31,"1,6%",,,0.9,0.25,Original,,,,0.07,0.05,0.05,"-0,2% compared to average",,"0,91%","0,52%","1,43%"
02.08.2023 13:25:06,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,09.06.2022,7 Months,11480 km,570 km,"78,1 kWh",35,"1,8%",,,0.9,0.25,Original,,,,0.08,0.06,0.06,"-0,2% compared to average",,"0,97%","0,59%","1,56%"
02.08.2023 13:29:11,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,13.08.2022,10 Months,16279 km,568 km,"77,8 kWh",50,"2,1%",,,0.9,0.25,Original,,,,0.1,0.08,0.07,"0,0% compared to average",,"1,25%","0,83%","2,09%"
02.08.2023 13:29:27,Standard Range 2021 / RWD / WLTP 448km / E6CR,Model 3,Standard Range,2021,China,"18""",24.03.2021,CATL 6C,"55,2 kWh",Prismatic,LFP,04.07.2023,27 Months,39200 km,399 km,"51,1 kWh",169,"7,5%","0,27%","0,04%",,,,,,,0.29,0.25,0.25,"-1,7% compared to average","0,0002%","3,47%","2,31%","5,78%"
02.08.2023 13:30:20,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,21.08.2022,10 Months,16541 km,562 km,"77,0 kWh",51,"3,2%",,,0.9,0.25,Original,,,,0.1,0.09,0.11,"-1,0% compared to average",,"1,29%","0,85%","2,14%"
02.08.2023 13:33:14,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,23.09.2022,11 Months,19276 km,561 km,"76,9 kWh",60,"3,3%",,,0.9,0.25,Original,,,,0.11,0.1,0.11,"-0,9% compared to average",,"1,43%","0,99%","2,42%"
02.08.2023 13:34:28,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,21.10.2022,12 Months,21654 km,556 km,"76,2 kWh",67,"4,2%",,,0.9,0.25,Original,,,,0.12,0.11,0.14,"-1,5% compared to average",,"1,55%","1,11%","2,66%"
02.08.2023 13:35:36,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,13.11.2022,13 Months,23132 km,553 km,"75,8 kWh",72,"4,7%",,,0.9,0.25,Original,,,,0.13,0.12,0.16,"-1,9% compared to average",,"1,65%","1,19%","2,83%"
02.08.2023 13:37:01,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,22.01.2023,15 Months,25471 km,551 km,"75,5 kWh",80,"5,0%",,,0.9,0.25,Original,,,,0.16,0.13,0.17,"-1,8% compared to average",,"1,95%","1,31%","3,26%"
02.08.2023 13:38:10,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,23.03.2023,17 Months,27785 km,554 km,"75,9 kWh",87,"4,5%",,,0.9,0.25,Original,,,,0.18,0.14,0.15,"-0,9% compared to average",,"2,21%","1,43%","3,63%"
02.08.2023 13:39:36,Long Range 2021 / AWD / WLTP 614km / E5LD,Model 3,Long Range,2021,China,"19""",27.10.2021,LG Chem 5L,"79,5 kWh",2170,NMC,27.04.2023,18 Months,29189 km,551 km,"75,5 kWh",91,"5,0%",,,0.9,0.25,Original,,,,0.19,0.15,0.17,"-1,2% compared to average",,"2,36%","1,50%","3,86%"
